FAO_commodity,assingment
"European sardine, prepared or preserved, not minced, nei",unsure
"Flaps of herring, fresh or chilled",low
"Herring fillets, dried, salted or in brine",unsure
"Herring fillets, incl. coated in batter, cooked or not",high
"Herring kippers, prepared or preserved",unsure
Herring meal,high
"Herring meat, frozen",low
"Herring nei, fillets, fresh or chilled",low
"Herring nei, fillets, frozen",low
"Herring roes, cured",unsure
"Herring roes, frozen",low
"Herring, salted or in brine",unsure
"Herrings minced, prepared or preserved",unsure
"Herrings nei, dried, salted or in brine",unsure
"Herrings nei, frozen",low
"Herrings nei, smoked",high
"Herrings prepared or preserved, not minced, nei",unsure
"Herrings, dried, whether or not salted",unsure
"Herrings, fresh or chilled, nei",low
"Herrings, not minced, in oil, prepared or preserved",high
"Herrings, not minced, marinated, prepared or preserved",unsure
"Herrings, not minced, pickled, incl. fillets, prep. or pres.",unsure
"Herrings, not minced, prep. or pres. in airtight containers, nei",unsure
"Herrings, not minced, prep. or pres., not in airtight containers",unsure
"Herrings, not minced, smoked, in oil or in tomato sauce, prep. or pres.",high
"Pacific herring, fresh or chilled",low
"Pacific herring, frozen",low
"Pilchard fillets, frozen",low
"Pilchards (Sardinops spp.), prep. or pres., not minced, in oil",high
"Pilchards (Sardinops spp.), prep. or pres., not minced, in tomato sauce",unsure
"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",unsure
"Pilchards(Sardinops spp.) and Sardinellas, fresh or chilled",low
"Pilchards(Sardinops spp.) and Sardinellas, frozen",low
"Pilchards, dried, salted or in brine",unsure
"Pilchards, dried, unsalted",unsure
"Pilchards, dried, whether or not salted, but not smoked",unsure
"Pilchards, salted or in brine",unsure
"Sardines and sprats, smoked",high
"Sardines, sardinellas, brisling or sprats, fresh or chilled",low
"Sardines, sardinellas, brisling or sprats, frozen",low
"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, in oil",high
"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",unsure
"Sardines, sardinellas, sprats minced, prepared or preserved",unsure
"South African pilchard, prep. or pres., not minced",unsure
"Balls, cakes, sausages, etc.prepared from minced fish",high
"Fingers, sticks, prepared with minced fish",high
Fish cakes,high
"Fish crustacean and mollusc products, unfit for human consumption nei",unsure
"Fish dried, whether or not salted, nei",unsure
"Fish fillets in blocks, frozen, nei",low
"Fish fillets, dried, salted or in brine",unsure
"Fish fillets, dried, salted or in brine, nei",unsure
"Fish fillets, fresh or chilled, nei",low
"Fish fillets, frozen, nei",low
"Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen",high
"Fish fillets, smoked",high
"Fish for culture incl. ova, fingerlings etc.",low
"Fish heads, tail, maws etc., dried, salted, or in brine",unsure
"Fish heads, tails, maws, tongues, fresh or chilled",low
"Fish heads, tails, maws, tongues, frozen",low
"Fish live, nei",unsure
"Fish liver oils, nei",high
"Fish livers, dried, salted or in brine",unsure
"Fish livers, fresh or chilled",low
"Fish livers, frozen",low
"Fish livers, roes, etc., prepared or preserved",unsure
"Fish livers, roes, etc., prepared or preserved, nei",unsure
"Fish meal fit for human consumption, nei",high
"Fish meals, nei",high
"Fish meat, whether or not minced nei, fresh or chilled",low
"Fish meat, whether or not minced, frozen, nei",low
"Fish meat,whether or not minced, fresh,chilled,frozen, nei",low
"Fish minced (=surimi), frozen",low
"Fish minced nei, in airtight containers prepared or preserved",unsure
"Fish minced nei, not in airtight containers prepared or preserved",unsure
"Fish minced nei, prepared or preserved",unsure
"Fish nei, dried and salted",unsure
"Fish nei, dried, unsalted",unsure
"Fish nei, prepared or preserved, not minced",unsure
"Fish nei, salted or in brine",unsure
"Fish nei, smoked",high
